一,yī,one
丨,gǔn,line
丶,zhǔ,dot
丿,pǐe,slash
乀,fú,slash
乁,yí,slash
乙,yì,second
乚,yǐn,second
乛,yì,second
亅,júe,hook
二,èr,two
亠,tóu,lid
人,rén,man
亻,rén,man
儿,rén,legs
入,rù,enter
八,bā,eight
丷,bā,eight
冂,jiǒng,down box
冖,mì,over
冫,bīng,ice
几,jī,table
凵,qǔ,open box
刀,dāo,knife
刂,dāo,knife
力,lì,power
勹,bāo,wrap
匕,bǐ,spoon
匚,fāng,open box
匸,xǐ,hiding enclosure
十,shí,ten
卜,bǔ,divination
卩,jié,seal
厂,hàn,cliff
厶,sī,private
又,yòu,again
口,kǒu,mouth
囗,wéi,enclosure
土,tǔ,earth
士,shì,scholar
夂,zhǐ,go
夊,sūi,go slowly
夕,xì,evening
大,dà,big
女,nü3,woman
子,zǐ,child
宀,mián,roof
寸,cùn,inch
小,xiǎo,small
尢,wāng,lame
尣,wāng,lame
尸,shī,corpse
屮,chè,sprout
山,shān,mountain
川,chūan,river
巛,chūan,river
巜,gùi,river
工,gōng,work
己,jǐ,oneself
巾,jīn,turban
干,gān,dry
幺,yāo,short thread
广,yǎn,dotted cliff
廴,yǐn,long stride
廾,gǒng,two hands
弋,yì,shoot
弓,gōng,bow
彐,jì,pig's head
彑,jì,pig's head
彡,shān,bristle
彳,chì,step
心,xīn,heart
忄,xīn,heart
戈,gē,halberd
戶,hù,door
手,shǒu,hand
扌,shǒu,hand
支,zhī,branch
攴,pū,rap
攵,pū,rap
文,wén,script
斗,dǒu,dipper
斤,jīn,axe
方,fāng,square
无,wú,do not
日,rì,sun
曰,yūe,say
月,yùe,moon
木,mù,tree
欠,qiàn,lack
止,zhǐ,stop
歹,dǎi,death
殳,shū,weapon
毋,mú,do not
比,bǐ,compare
毛,máo,fur
氏,shì,clan
气,qì,breath
水,shǔi,water
氵,shǔi,water
火,hǔo,fire
灬,hǔo,fire
爪,zhǎo,claw
爫,zhǎo,claw
父,fù,father
爻,yáo,cross
爿,qiáng,half tree trunk
丬,qiáng,half tree trunk
片,piàn,slice
牙,yá,fang
牛,niú,cow
牜,niú,cow
犬,quǎn,dog
犭,quǎn,dog
玄,xuán,profound
玉,yù,king
王,yù,king
瓜,guā,melon
瓦,wǎ,tile
甘,gān,sweet
生,shēng,life
用,yòng,use
田,tián,field
疋,pǐ,bolt of cloth
疒,chuáng,sickness
癶,bò,dotted tent
白,bái,white
皮,pí,skin
皿,mǐn,dish
目,mù,eye
矛,máo,spear
矢,shǐ,arrow
石,shí,stone
示,shì,showing
礻,shì,showing
禸,rǒu,track
禾,hé,grain
穴,xùe,cave
立,lì,stand
竹,zhú,bamboo
⺮,zhú,bamboo
米,mǐ,rice
糸,mì,silk
纟,mì,silk
缶,fǒu,jar
网,wǎng,net
罒,wǎng,net
羊,yáng,sheep
羽,yǔ,feather
老,lǎo,old
而,ér,and
耒,lěi,plow
耳,ěr,ear
聿,yù,brush
肉,ròu,meat
臣,chén,minister
自,zì,self
至,zhì,arrive
臼,jiù,mortar
舌,shé,tongue
舛,chǔan,oppose
舟,zhōu,boat
艮,gèn,stopping
色,sè,color
艸,cǎo,grass
艹,cǎo,grass
虍,hū,tiger
虫,chóng,insect
血,xǔe,blood
行,xíng,walk
衣,yī,clothes
衤,yī,clothes
襾,yà,west
覀,yà,west
見,jiàn,see
见,jiàn,see
角,júe,horn
言,yán,speech
讠,yán,speech
谷,gǔ,valley
豆,dòu,bean
豕,shǐ,pig
豸,zhì,badger
貝,bèi,shell
贝,bèi,shell
赤,chī,red
走,zǒu,run
足,zú,foot
身,shēn,body
車,chē,cart
车,chē,cart
辛,xīn,bitter
辰,chén,morning
辵,chūo,walk
辶,chùo,walk
邑,yì,city
阝,yì,city
酉,yǒu,alcohol
釆,biàn,distinguish
里,lǐ,village
金,jīn,gold
長,cháng,long
长,cháng,long
門,mén,gate
门,mén,gate
阜,fù,mound
阝,fù,mound
隶,dài,slave
隹,zhūi,short tailed bird
雨,yǔ,rain
青,qīng,blue
非,fēi,wrong
面,miàn,face
革,gé,leather
韋,wéi,tanned leather
韦,wéi,tanned leather
韭,jǐu,leek
音,yīn,sound
頁,yè,leaf
页,yè,leaf
風,fēng,wind
风,fēng,wind
飛,fēi,fly
飞,fēi,fly
食,shí,eat
飠,shí,eat
饣,shí,eat
首,shǒu,head
香,xiāng,fragrant
馬,mǎ,horse
马,mǎ,horse
骨,gǔ,bone
高,gāo,tall
髟,biāo,hair
鬥,dòu,fight
鬯,chàng,sacrificial wine
鬲,lì,cauldron
鬼,guǐ,ghost
魚,yú,fish
鱼,yú,fish
鳥,niǎo,bird
鸟,niǎo,bird
鹵,lǔ,salt
鹿,lù,deer
麥,mài,wheat
麦,mài,wheat
麻,má,hemp
黃,huáng,yellow
黍,shǔ,millet
黑,hēi,black
黹,zhǐ,embroidery
黽,mǐn,frog
黾,mǐn,frog
鼎,dǐng,tripod
鼓,gǔ,drum
鼠,shǔ,rat
鼡,shǔ,rat
鼻,bí,nose
齊,qí,even
齐,qí,even
齒,chǐ,tooth
齿,chǐ,tooth
龍,lóng,dragon
龙,lóng,dragon
龜,gūi,turtle
龟,gūi,turtle
龠,yùe,flute